primary_type,pokemon_name,total_base_stats,hp,attack,defense,special_attack,special_defense,speed
normal,slaking,670,150,160,100,95,65,100
dragon,kommo-o,600,75,110,125,100,105,85
steel,metagross,600,80,135,130,95,90,70
dark,hydreigon,600,92,105,90,125,90,98
dragon,dragapult,600,88,120,75,100,75,142
dragon,garchomp,600,108,130,95,80,85,102
dragon,baxcalibur,600,115,145,92,75,86,87
rock,tyranitar,600,100,134,110,95,100,61
dragon,salamence,600,95,135,80,110,80,100
dragon,goodra,600,90,100,70,110,150,80
dragon,dragonite,600,91,134,95,100,100,80
steel,archaludon,600,90,105,130,125,65,85
fairy,iron-valiant,590,74,130,90,120,60,116
dragon,roaring-moon,590,105,139,71,55,101,119
fire,gouging-fire,590,105,115,121,65,93,91
rock,iron-boulder,590,90,120,80,68,108,124
water,walking-wake,590,99,83,91,125,83,109
steel,iron-crown,590,90,72,100,122,108,98
grass,iron-leaves,590,90,130,88,70,108,104
electric,raging-bolt,590,125,73,91,137,89,75
